passenger_name,tpep_pickup_datetime,tpep_dropoff_datetime,payment_method,passenger_count,trip_distance,fare_amount,tip_amount,tolls_amount,trep_driving_time
Latasha Davidson,2017-02-22 19:37:37,2017-02-22 19:56:07,Cash,5,1.65,12.0,2.76,0.0,18.5
Tracy Alexander,2017-10-08 18:39:05,2017-10-08 18:44:05,Card,1,0.96,5.5,1.26,0.0,5.0
Joseph Weaver,2017-05-06 21:47:28,2017-05-06 21:55:02,Cash,1,0.7,6.5,0.0,0.0,7.566666666666666
Brittany Reynolds,2017-09-25 06:36:25,2017-09-25 06:48:18,Card,1,2.64,11.0,3.54,0.0,11.883333333333333
Thomas Mahoney,2017-05-05 21:41:07,2017-05-05 21:50:26,Cash,5,1.97,9.0,2.06,0.0,9.316666666666666
Amanda Beard,2017-03-18 15:25:10,2017-03-18 15:46:55,Card,2,2.6,14.5,0.0,0.0,21.75
Jennifer Dyer,2017-05-21 16:49:34,2017-05-21 17:04:09,Cash,1,2.67,12.0,3.2,0.0,14.583333333333334
Catherine Anderson,2017-09-16 04:07:05,2017-09-16 04:10:57,Cash,1,0.7,5.0,0.0,0.0,3.8666666666666667
Jacob Guerrero,2017-04-24 06:15:55,2017-04-24 06:28:40,Card,1,3.0,12.0,0.0,0.0,12.75
Austin Osborne,2017-03-27 09:25:24,2017-03-27 09:50:12,Card,2,5.4,21.5,0.0,0.0,24.8
Melanie Walker,2017-01-23 22:13:25,2017-01-23 22:23:09,Card,1,1.6,8.5,1.95,0.0,9.733333333333333
Richard Reynolds,2017-01-29 19:38:50,2017-01-29 19:49:27,Card,2,2.6,11.0,0.0,0.0,10.616666666666667
Emily Gray,2017-09-26 14:01:42,2017-09-26 14:15:22,Card,1,1.4,9.5,2.05,0.0,13.666666666666666
Christopher Burns,2017-06-29 22:44:00,2017-06-29 22:49:42,Cash,1,0.61,5.0,0.0,0.0,5.7
Douglas Lewis,2017-12-19 00:19:10,2017-12-19 00:28:24,Card,1,1.4,8.0,0.93,0.0,9.233333333333333
Dr. Jose Garza,2017-10-10 19:14:26,2017-10-10 19:37:49,Card,2,3.0,16.0,3.55,0.0,23.383333333333333
Angela Garza PhD,2017-02-03 16:26:10,2017-02-03 16:38:12,Card,1,1.2,9.0,2.15,0.0,12.033333333333333
Jennifer Brown,2017-03-11 23:48:07,2017-03-12 00:04:07,Card,1,3.4,14.0,3.05,0.0,16.0
Jack Herman,2017-11-04 10:37:43,2017-11-04 10:57:12,Cash,1,3.47,15.0,1.58,0.0,19.483333333333334
Jennifer Nguyen,2017-12-29 21:14:50,2017-12-29 21:19:47,Card,1,0.5,5.0,0.0,0.0,4.95
Ariana Moss,2017-06-25 09:53:15,2017-06-25 10:01:14,Cash,1,1.9,8.5,0.0,0.0,7.983333333333333
Mrs. Elizabeth Larsen DVM,2017-12-11 06:19:13,2017-12-11 06:25:48,Card,4,1.43,7.0,0.0,0.0,6.583333333333333
Elizabeth Gibson,2017-03-03 13:43:40,2017-03-03 13:51:56,Cash,2,1.0,7.0,1.55,0.0,8.266666666666667
Casey Lowery,2017-03-16 18:31:35,2017-03-16 18:56:23,Cash,1,1.4,14.0,0.0,0.0,24.8
Kevin Osborn,2017-02-09 07:10:19,2017-02-09 07:16:30,Card,1,0.99,6.0,2.04,0.0,6.183333333333334
Michael Lee,2017-02-22 18:34:22,2017-02-22 19:24:06,Card,6,18.22,52.0,5.0,5.54,49.733333333333334
Courtney West,2017-12-13 17:40:26,2017-12-13 17:49:04,Cash,1,1.0,7.0,2.5,0.0,8.633333333333333
Christopher Middleton,2017-02-10 19:59:24,2017-02-10 20:10:05,Cash,1,1.94,9.5,0.0,0.0,10.683333333333334
Natalie Diaz DDS,2017-05-26 21:59:12,2017-05-26 22:19:26,Card,1,3.2,15.0,0.0,0.0,20.233333333333334
Kaitlin Chen,2017-02-11 08:36:38,2017-02-11 08:58:47,Card,1,3.23,16.0,3.0,0.0,22.15
Brianna Rivera,2017-04-26 10:20:43,2017-04-26 10:25:48,Cash,4,0.39,5.0,1.16,0.0,5.083333333333333
Joe Thomas,2017-06-22 07:34:46,2017-06-22 07:38:51,Card,2,1.01,5.0,1.16,0.0,4.083333333333333
Steven Haney,2017-01-11 14:17:53,2017-01-11 14:27:12,Cash,1,1.25,7.5,0.0,0.0,9.316666666666666
Gerald Townsend,2017-07-29 00:36:14,2017-07-29 00:50:22,Card,1,3.1,12.5,3.45,0.0,14.133333333333333
Lisa Hodge,2017-11-02 06:19:27,2017-11-02 07:10:24,Cash,1,17.7,52.0,10.0,5.76,50.95
Jamie Hicks,2017-03-09 22:47:10,2017-03-09 22:50:23,Cash,1,0.74,4.5,0.93,0.0,3.216666666666667
Erika Phillips,2017-08-16 21:08:38,2017-08-16 21:12:37,Card,1,1.1,5.5,5.0,0.0,3.9833333333333334
Gavin Gilbert,2017-09-06 21:40:25,2017-09-06 21:55:49,Cash,1,3.14,13.5,2.96,0.0,15.4
Tanya Thompson,2017-02-04 23:40:12,2017-02-05 00:08:29,Cash,1,4.35,20.0,4.26,0.0,28.283333333333335
Sharon Lloyd,2017-03-20 14:30:17,2017-03-20 14:39:07,Cash,2,1.2,7.5,0.0,0.0,8.833333333333334
Tiffany Anderson,2017-12-20 18:28:55,2017-12-20 18:40:26,Cash,2,1.8,9.0,0.0,0.0,11.516666666666667
Catherine King,2017-09-24 12:10:59,2017-09-24 12:18:04,Card,2,0.9,6.5,1.0,0.0,7.083333333333333
Justin Wood,2017-02-16 13:41:22,2017-02-16 13:43:48,Card,2,0.61,4.0,0.96,0.0,2.433333333333333
Frank Ramirez,2017-02-13 18:37:51,2017-02-13 18:59:55,Card,1,2.5,15.0,0.0,0.0,22.066666666666666
Stephen Perry,2017-09-25 16:01:48,2017-09-25 16:09:44,Cash,1,0.97,6.5,1.7,0.0,7.933333333333334
Rebecca Rose,2017-03-13 07:02:06,2017-03-13 07:21:58,Cash,3,3.9,16.0,0.0,0.0,19.866666666666667
Sharon Williams,2017-08-22 16:29:07,2017-08-22 16:49:21,Card,3,1.25,12.5,0.0,0.0,20.233333333333334
Lisa Cooper,2017-10-09 17:16:50,2017-10-09 17:46:57,Card,1,4.05,20.0,0.0,0.0,30.116666666666667
Beth Dominguez,2017-10-02 17:36:21,2017-10-02 17:38:43,Cash,1,0.46,4.0,0.0,0.0,2.3666666666666667
Ashley Pugh,2017-12-28 09:34:25,2017-12-28 09:53:02,Card,1,11.09,30.5,7.41,5.76,18.616666666666667
Ethan Rich,2017-08-25 12:12:31,2017-08-25 12:35:08,Cash,3,5.8,21.0,0.0,0.0,22.616666666666667
Chris Stewart,2017-12-16 23:54:20,2017-12-17 00:00:42,Card,3,1.6,7.5,0.0,0.0,6.366666666666666
Thomas Guzman,2017-04-27 07:53:38,2017-04-27 08:11:00,Card,1,2.44,12.5,2.66,0.0,17.366666666666667
Peter Ryan,2017-05-28 04:30:40,2017-05-28 04:46:52,Card,1,9.92,29.0,0.0,0.0,16.2
Stephen Bryant,2017-11-02 14:06:03,2017-11-02 14:17:21,Cash,2,1.55,9.0,0.0,0.0,11.3
Kenneth Christensen,2017-02-15 13:02:24,2017-02-15 13:32:25,Card,2,18.8,52.0,11.65,5.54,30.016666666666666
Randy Lopez,2017-06-26 11:51:48,2017-06-26 12:12:08,Card,1,3.39,15.5,3.26,0.0,20.333333333333332
Cynthia Fisher,2017-10-24 22:00:54,2017-10-24 22:11:17,Card,1,3.22,12.0,0.0,0.0,10.383333333333333
Kaitlyn Mendoza,2017-12-04 14:30:50,2017-12-04 14:35:13,Cash,1,0.4,4.5,1.0,0.0,4.383333333333334
Aaron Andrews,2017-02-13 16:51:49,2017-02-13 17:00:49,Cash,1,1.21,7.5,0.0,0.0,9.0
Denise Mullins,2017-08-21 06:14:32,2017-08-21 07:01:06,Cash,3,18.79,52.0,0.0,5.76,46.56666666666667
Jared Thomas,2017-10-03 15:44:16,2017-10-03 16:19:07,Cash,2,8.9,31.5,0.0,5.76,34.85
Clifford Clark,2017-12-28 18:41:45,2017-12-28 18:45:00,Card,1,0.4,4.0,1.15,0.0,3.25
David Smith,2017-09-28 23:19:16,2017-09-28 23:39:47,Card,1,3.6,16.5,2.0,0.0,20.516666666666666
Marilyn Taylor,2017-01-05 09:13:24,2017-01-05 09:21:16,Cash,1,1.2,7.5,1.65,0.0,7.866666666666666
Amanda Savage,2017-10-27 10:01:55,2017-10-27 10:27:31,Card,1,2.78,16.5,3.46,0.0,25.6
Chelsea Collins,2017-02-01 16:17:15,2017-02-01 16:32:26,Cash,1,2.7,12.0,2.75,0.0,15.183333333333334
Sandra Robinson,2017-08-06 14:38:31,2017-08-06 14:49:19,Cash,1,1.53,9.0,1.96,0.0,10.8
Robert Davidson,2017-01-29 10:27:26,2017-01-29 10:32:15,Card,1,1.09,6.0,0.0,0.0,4.816666666666666
Maria Long,2017-10-18 16:54:29,2017-10-18 17:19:19,Card,1,3.75,17.0,0.0,0.0,24.833333333333332
Laura Coleman,2017-10-20 21:49:37,2017-10-20 22:37:50,Card,5,3.89,52.0,0.0,5.76,48.21666666666667
Samuel Hernandez Jr.,2017-05-03 20:10:28,2017-05-03 20:31:28,Card,2,5.53,19.5,0.0,0.0,21.0
Manuel Lambert,2017-07-02 18:00:15,2017-07-02 18:12:25,Cash,1,3.9,14.0,4.1,5.76,12.166666666666666
Philip Li,2017-03-05 01:16:30,2017-03-05 01:40:19,Card,3,10.1,31.0,0.0,0.0,23.816666666666666
Gregory Navarro Jr.,2017-10-29 17:48:13,2017-10-29 17:55:00,Cash,1,1.6,7.5,0.0,0.0,6.783333333333333
Tom Gomez,2017-08-17 14:07:35,2017-08-17 15:06:28,Cash,1,11.34,45.0,10.31,5.76,58.88333333333333
Kevin Morgan,2017-08-20 18:09:30,2017-08-20 18:17:44,Cash,2,1.48,8.0,0.0,0.0,8.233333333333333
James Burton,2017-05-15 18:50:05,2017-05-15 19:00:10,Card,1,1.66,9.0,2.16,0.0,10.083333333333334
Holly Roth,2017-03-31 14:47:53,2017-03-31 15:11:27,Cash,1,2.7,15.5,3.0,0.0,23.566666666666666
Ashley Lewis,2017-10-10 17:26:02,2017-10-10 17:48:00,Card,1,2.4,14.5,3.25,0.0,21.966666666666665
Arthur Walker,2017-12-19 18:55:20,2017-12-19 19:08:27,Card,1,1.6,9.5,1.0,0.0,13.116666666666667
Ashley Greene,2017-10-15 08:19:06,2017-10-15 08:45:02,Card,1,18.0,52.0,5.0,5.76,25.933333333333334
Alexander Austin,2017-07-18 19:16:32,2017-07-18 19:23:07,Cash,1,1.0,6.5,0.0,0.0,6.583333333333333
Barbara Munoz,2017-01-13 19:58:13,2017-01-13 20:29:38,Cash,1,3.2,20.0,4.0,0.0,31.416666666666668
Ashley Campbell,2017-10-12 21:13:55,2017-10-12 21:54:54,Card,1,11.7,40.0,0.0,5.76,40.983333333333334
Jeffery Davies,2017-02-28 10:12:59,2017-02-28 10:21:03,Card,5,1.14,7.0,1.4,0.0,8.066666666666666
Diana Mullins,2017-04-29 22:40:38,2017-04-29 22:55:48,Card,3,1.1,10.0,2.25,0.0,15.166666666666666
Jamie Nelson,2017-07-07 14:06:17,2017-07-07 14:09:37,Card,1,0.56,4.5,0.0,0.0,3.3333333333333335
Veronica Cook,2017-10-27 16:49:37,2017-10-27 16:55:59,Card,1,1.12,6.5,0.0,0.0,6.366666666666666
Charles Reeves,2017-04-23 11:22:12,2017-04-23 11:27:03,Cash,1,1.3,6.0,1.35,0.0,4.85
Dawn Moore,2017-07-26 20:53:58,2017-07-26 20:59:21,Card,5,0.87,5.5,2.0,0.0,5.383333333333334
Mary Payne,2017-10-10 22:20:16,2017-10-10 22:33:43,Card,2,2.3,10.5,2.0,0.0,13.45
William Oliver,2017-02-18 14:54:20,2017-02-18 15:01:08,Card,1,0.83,6.0,2.04,0.0,6.8
Victoria Johnson,2017-07-18 11:34:53,2017-07-18 11:54:23,Cash,2,1.93,13.5,2.86,0.0,19.5
Jaime Payne,2017-03-11 11:07:26,2017-03-11 11:17:52,Cash,1,1.6,9.0,1.95,0.0,10.433333333333334
Mr. Benjamin Thompson,2017-12-19 21:50:08,2017-12-19 21:57:11,Cash,4,0.9,6.5,1.55,0.0,7.05
Laura Chavez,2017-11-05 11:56:01,2017-11-05 12:00:28,Cash,2,0.78,5.0,1.0,0.0,4.45
Caitlin Green,2017-03-02 13:40:55,2017-03-02 13:43:51,Card,1,0.5,4.0,0.96,0.0,2.933333333333333
Andres Rivers MD,2017-03-09 18:36:04,2017-03-09 19:11:50,Cash,1,6.7,26.5,5.65,0.0,35.766666666666666
Darin Lyons,2017-12-20 20:46:35,2017-12-20 21:04:16,Card,2,4.5,17.0,3.65,0.0,17.683333333333334
Kenneth Smith,2017-05-28 06:00:46,2017-05-28 06:16:24,Cash,1,5.3,17.0,3.55,0.0,15.633333333333333
Jeffrey Gregory,2017-03-05 00:15:35,2017-03-05 00:26:39,Cash,1,1.0,8.5,0.0,0.0,11.066666666666666
Anthony Jackson,2017-03-26 17:40:55,2017-03-26 17:45:32,Cash,1,0.9,5.5,0.0,0.0,4.616666666666666
Jonathan Jennings,2017-09-23 06:55:47,2017-09-23 07:06:47,Cash,1,1.95,10.0,2.16,0.0,11.0
Andrew Rodriguez,2017-06-07 23:53:18,2017-06-08 00:00:01,Cash,1,1.73,7.5,1.0,0.0,6.716666666666667
Natasha Harris,2017-12-04 12:23:46,2017-12-04 12:29:47,Card,2,1.39,6.5,0.0,0.0,6.016666666666667
Paul Stein,2017-02-28 09:21:38,2017-02-28 09:38:30,Cash,1,1.8,12.0,2.55,0.0,16.866666666666667
Mr. Danny Lara,2017-01-19 22:19:05,2017-01-19 22:23:08,Cash,2,0.8,5.0,1.25,0.0,4.05
Stefanie Paul,2017-06-03 23:31:35,2017-06-03 23:47:16,Card,1,3.16,13.0,2.86,0.0,15.683333333333334
Thomas Campos,2017-09-17 16:28:55,2017-09-17 16:38:34,Cash,1,1.7,8.5,1.85,0.0,9.65
Alexander Hoffman,2017-01-19 16:48:30,2017-01-19 16:51:56,Card,1,0.6,4.5,0.0,0.0,3.433333333333333
Michael Mccormick,2017-08-10 21:24:13,2017-08-10 21:27:05,Card,1,0.4,4.0,1.3,0.0,2.8666666666666667
Joshua Johnson,2017-05-13 00:17:27,2017-05-13 00:27:11,Card,1,1.16,8.0,1.86,0.0,9.733333333333333
Jennifer White,2017-12-29 06:31:22,2017-12-29 06:38:01,Cash,1,2.19,8.5,0.0,0.0,6.65
Sarah Thomas,2017-03-23 14:36:37,2017-03-23 14:43:53,Cash,6,1.33,7.0,1.56,0.0,7.266666666666667
Julia Nichols,2017-07-26 09:42:28,2017-07-26 09:55:13,Card,1,2.3,10.5,2.25,0.0,12.75
Brent Perry,2017-03-03 12:05:04,2017-03-03 12:26:32,Cash,1,2.2,14.5,4.55,0.0,21.466666666666665
Brittany Johnson,2017-10-30 11:07:58,2017-10-30 11:19:33,Card,1,3.46,12.5,2.66,0.0,11.583333333333334
Tommy Shaw,2017-04-26 17:18:46,2017-04-26 17:26:58,Cash,1,1.1,7.0,0.0,0.0,8.2
Chad Paul,2017-10-12 23:43:00,2017-10-13 00:17:11,Cash,1,7.6,27.5,2.0,0.0,34.18333333333333
Michael Hampton,2017-12-10 07:16:57,2017-12-10 07:21:52,Card,5,1.5,6.5,0.0,0.0,4.916666666666667
Bonnie Clark,2017-04-12 22:29:39,2017-04-12 22:53:39,Card,2,10.07,29.5,1.0,5.76,24.0
Julie Solis,2017-08-13 17:54:22,2017-08-13 18:11:59,Cash,1,3.4,14.5,3.0,0.0,17.616666666666667
Anne Holland,2017-03-08 23:41:10,2017-03-09 00:07:11,Card,1,7.5,25.5,5.35,0.0,26.016666666666666
Ashley Blackwell,2017-05-03 07:15:24,2017-05-03 07:25:48,Card,2,1.24,8.5,0.9,0.0,10.4
Raymond Cook,2017-12-22 12:29:57,2017-12-22 12:39:35,Cash,1,1.0,7.5,1.25,0.0,9.633333333333333
Morgan Mueller,2017-09-05 07:17:19,2017-09-05 07:50:15,Card,1,4.4,23.5,2.0,0.0,32.93333333333333
Dan Velez,2017-06-07 13:46:50,2017-06-07 14:27:40,Cash,1,16.7,47.0,10.7,5.76,40.833333333333336
Susan Wright,2017-12-08 05:46:06,2017-12-08 05:47:25,Cash,1,0.4,3.5,0.0,0.0,1.3166666666666667
Julie Warner,2017-01-21 18:42:57,2017-01-21 19:00:17,Cash,1,2.8,13.0,2.2,0.0,17.333333333333332
William Chen,2017-09-15 14:53:35,2017-09-15 14:59:13,Card,1,0.7,5.5,1.25,0.0,5.633333333333334
Juan Peterson,2017-09-04 11:37:49,2017-09-04 11:48:33,Cash,1,2.4,10.5,2.26,0.0,10.733333333333333
Kimberly Horton,2017-03-17 23:52:37,2017-03-18 00:00:38,Card,2,1.23,7.0,0.0,0.0,8.016666666666667
Rebecca Rogers,2017-01-17 10:31:44,2017-01-17 10:36:07,Cash,6,0.86,5.0,1.74,0.0,4.383333333333334
Katrina Welch,2017-09-16 19:50:25,2017-09-16 20:19:34,Card,1,3.32,19.0,3.96,0.0,29.15
Debra Gregory,2017-10-08 22:02:18,2017-10-08 22:06:15,Cash,1,1.0,5.0,1.25,0.0,3.95
Bonnie Levy,2017-04-28 12:51:12,2017-04-28 13:04:57,Card,1,1.3,10.0,2.15,0.0,13.75
Peter Shah,2017-08-14 11:19:45,2017-08-14 11:44:25,Cash,6,5.07,21.0,0.0,0.0,24.666666666666668
Terry Poole,2017-07-12 22:53:20,2017-07-12 23:16:41,Card,1,5.16,20.0,0.0,0.0,23.35
Rose Foley,2017-11-09 11:28:57,2017-11-09 12:07:03,Cash,2,2.66,22.5,4.66,0.0,38.1
William Allison,2017-06-25 01:22:49,2017-06-25 01:33:12,Cash,2,2.15,9.5,2.16,0.0,10.383333333333333
Brandon Dean,2017-12-19 14:27:27,2017-12-19 14:59:29,Card,1,3.9,21.5,2.25,0.0,32.03333333333333
Nicholas Lane,2017-12-30 20:08:57,2017-12-30 20:17:43,Cash,1,0.5,6.5,2.2,0.0,8.766666666666667
Nicholas Duncan,2017-03-31 21:44:33,2017-03-31 22:00:02,Cash,1,1.4,11.0,1.0,0.0,15.483333333333333
Stephanie Pearson,2017-02-10 15:58:03,2017-02-10 16:12:21,Cash,1,1.04,10.0,2.16,0.0,14.3
Mr. Daniel Wagner,2017-02-10 23:48:34,2017-02-10 23:59:12,Card,1,1.8,9.5,2.15,0.0,10.633333333333333
Nicole Wilson,2017-07-13 12:33:11,2017-07-13 12:52:00,Card,1,0.42,11.5,1.84,0.0,18.816666666666666
Katherine Robinson,2017-03-17 23:21:22,2017-03-17 23:32:28,Card,1,2.2,9.5,2.15,0.0,11.1
Becky Porter,2017-06-25 22:51:04,2017-06-25 23:00:40,Card,6,1.79,8.5,5.0,0.0,9.6
Chelsea Ross,2017-05-13 12:11:11,2017-05-13 12:21:01,Cash,2,1.3,8.0,2.6,0.0,9.833333333333334
Claudia White,2017-03-09 14:08:15,2017-03-09 14:19:24,Card,1,1.5,9.0,1.95,0.0,11.15
James Owens,2017-11-27 08:27:37,2017-11-27 08:42:42,Card,1,1.46,10.5,2.26,0.0,15.083333333333334
Larry Sutton,2017-12-16 01:12:01,2017-12-16 01:23:04,Cash,5,1.77,9.0,2.06,0.0,11.05
Daniel Martinez,2017-02-10 09:52:56,2017-02-10 10:00:08,Card,1,0.84,6.5,0.0,0.0,7.2
Marcus James,2017-07-26 22:29:07,2017-07-26 22:33:40,Cash,1,0.8,5.0,1.55,0.0,4.55
Andrew Carter,2017-04-01 18:00:46,2017-04-01 18:11:09,Cash,2,1.04,8.0,1.76,0.0,10.383333333333333
Elizabeth Roth,2017-02-01 11:07:37,2017-02-01 11:11:39,Card,1,0.81,5.0,0.0,0.0,4.033333333333333
Christopher Jones,2017-07-16 19:39:22,2017-07-16 19:48:05,Card,1,1.4,8.0,1.2,0.0,8.716666666666667
Shaun Johnson,2017-10-23 08:10:58,2017-10-23 08:24:52,Card,1,1.7,10.0,1.62,0.0,13.9
Michael Mitchell,2017-01-02 14:57:50,2017-01-02 15:12:25,Cash,1,2.33,11.5,2.46,0.0,14.583333333333334
Beth Harper,2017-12-18 14:38:23,2017-12-18 14:45:04,Card,5,0.73,6.0,0.0,0.0,6.683333333333334
Tammy Lopez,2017-01-04 17:21:36,2017-01-04 17:29:59,Cash,1,1.12,7.0,2.2,0.0,8.383333333333333
Morgan Thomas,2017-10-07 22:35:03,2017-10-07 22:41:37,Card,1,0.9,6.0,1.0,0.0,6.566666666666666
Matthew White,2017-05-23 19:37:42,2017-05-23 19:50:40,Cash,1,2.58,11.5,0.0,0.0,12.966666666666667
Carlos Stanley,2017-01-11 21:27:03,2017-01-11 21:38:19,Cash,5,1.91,9.5,0.0,0.0,11.266666666666667
Mackenzie Morris,2017-12-09 14:10:33,2017-12-09 14:29:53,Cash,1,2.7,14.5,4.55,0.0,19.333333333333332
Brian Erickson,2017-09-11 20:16:35,2017-09-11 20:41:13,Cash,1,5.68,21.0,0.0,0.0,24.633333333333333
Bryan Combs,2017-10-18 08:02:24,2017-10-18 08:11:55,Card,1,1.64,8.5,1.0,0.0,9.516666666666667
Heather Meyers,2017-10-16 07:57:29,2017-10-16 08:17:36,Card,1,3.5,15.5,4.05,0.0,20.116666666666667
Alan Simmons,2017-03-29 21:07:00,2017-03-29 21:11:19,Cash,4,0.88,5.0,1.26,0.0,4.316666666666666
Erika Perez MD,2017-03-26 22:25:42,2017-03-26 22:31:03,Card,1,1.1,6.0,1.0,0.0,5.35
Tracy Fisher,2017-02-10 10:31:54,2017-02-10 10:44:05,Card,1,1.5,9.0,2.9,0.0,12.183333333333334
Heather Lopez,2017-11-07 17:58:13,2017-11-07 18:39:06,Card,1,6.3,27.5,3.4,0.0,40.88333333333333
Tammy Greene,2017-05-18 22:25:29,2017-05-18 22:38:12,Card,1,1.5,9.5,1.0,0.0,12.716666666666667
Margaret Duffy,2017-01-30 18:01:01,2017-01-30 18:05:56,Cash,1,0.62,5.0,0.0,0.0,4.916666666666667
Joshua Nichols,2017-03-15 22:37:34,2017-03-15 22:49:28,Card,1,0.9,8.5,1.5,0.0,11.9
Nicole Hall,2017-02-02 20:18:50,2017-02-02 20:29:10,Cash,1,2.0,9.0,1.0,0.0,10.333333333333334
Kaitlyn Peters,2017-11-28 07:53:43,2017-11-28 08:18:18,Cash,1,3.1,17.0,3.55,0.0,24.583333333333332
Mark Reeves,2017-09-29 00:28:36,2017-09-29 00:47:32,Cash,1,4.1,15.5,3.36,0.0,18.933333333333334
Gary Shepherd,2017-03-11 01:03:31,2017-03-11 01:28:41,Cash,1,6.15,23.0,0.0,0.0,25.166666666666668
Brandon Stephenson,2017-03-20 08:07:45,2017-03-20 08:14:22,Card,1,0.71,6.0,2.04,0.0,6.616666666666666
Lance Dominguez,2017-06-26 23:57:51,2017-06-27 00:15:32,Cash,1,11.0,30.5,6.35,0.0,17.683333333333334
Makayla Hall,2017-05-16 22:31:47,2017-05-16 22:53:57,Card,2,5.1,20.0,3.0,0.0,22.166666666666668
Amy Brown,2017-11-14 22:42:32,2017-11-14 22:55:30,Cash,1,1.4,10.0,2.25,0.0,12.966666666666667
George Taylor,2017-03-04 18:19:32,2017-03-04 18:30:48,Card,1,1.5,9.0,0.0,0.0,11.266666666666667
Jermaine Reid,2017-01-10 13:16:37,2017-01-10 13:20:30,Card,1,0.7,5.0,0.0,0.0,3.8833333333333333
Brian Gordon,2017-12-29 16:17:43,2017-12-29 16:28:25,Cash,1,1.8,9.5,2.25,0.0,10.7
Tiffany Payne,2017-05-12 16:35:41,2017-05-12 17:11:46,Card,2,3.7,23.0,4.95,0.0,36.083333333333336
Marissa Hansen,2017-06-20 12:14:12,2017-06-20 12:36:06,Card,2,1.09,13.5,1.5,0.0,21.9
Erin Parker,2017-03-01 18:15:02,2017-03-01 18:19:37,Cash,1,0.58,5.0,1.0,0.0,4.583333333333333
Jasmine Jackson,2017-03-30 21:35:29,2017-03-30 21:47:58,Card,2,2.62,10.0,0.0,0.0,12.483333333333333
Jasmine Carpenter,2017-11-16 21:46:11,2017-11-16 22:03:12,Cash,1,2.63,13.0,2.5,0.0,17.016666666666666
Bonnie Ross,2017-05-19 20:28:15,2017-05-19 20:35:29,Cash,1,1.41,7.0,1.0,0.0,7.233333333333333
Carla Rose,2017-07-20 17:29:11,2017-07-20 17:33:44,Card,1,0.79,5.5,0.0,0.0,4.55
Dale Nelson,2017-09-21 07:51:17,2017-09-21 07:57:27,Card,1,0.69,5.5,1.26,0.0,6.166666666666667
Francisco Rodriguez,2017-07-29 19:31:55,2017-07-29 19:54:42,Card,3,5.6,20.5,3.0,0.0,22.783333333333335
Dr. Susan Malone,2017-11-29 13:56:08,2017-11-29 14:01:45,Card,3,1.02,6.0,0.0,0.0,5.616666666666666
Amy Moreno,2017-05-08 19:50:15,2017-05-08 19:55:41,Card,3,0.7,5.0,1.0,0.0,5.433333333333334
Ethan Smith,2017-02-06 00:51:54,2017-02-06 00:56:06,Cash,1,1.88,7.0,1.66,0.0,4.2
Richard Perez,2017-06-18 16:46:29,2017-06-18 17:28:31,Card,1,7.5,32.0,9.55,5.44,42.03333333333333
Melissa Figueroa,2017-02-03 20:15:17,2017-02-03 20:28:41,Card,1,2.6,12.0,1.3,0.0,13.4
Ashley Willis,2017-11-09 21:36:38,2017-11-09 21:48:28,Cash,1,1.33,9.0,3.09,0.0,11.833333333333334
Donna Pacheco,2017-01-12 13:35:54,2017-01-12 13:55:33,Card,1,6.38,21.5,4.46,0.0,19.65
Jacob Campos,2017-11-18 15:01:01,2017-11-18 15:07:48,Card,1,0.81,6.0,1.36,0.0,6.783333333333333
Jennifer Garcia,2017-11-20 15:33:11,2017-11-20 15:51:40,Card,5,1.55,12.0,3.2,0.0,18.483333333333334
Eric Mullins,2017-08-27 14:51:13,2017-08-27 14:54:56,Card,1,1.47,6.0,1.36,0.0,3.716666666666667
Debbie Allen,2017-03-21 23:00:47,2017-03-21 23:09:10,Cash,2,0.98,7.0,1.66,0.0,8.383333333333333
Sara Malone,2017-12-13 08:11:27,2017-12-13 08:22:21,Card,1,1.06,8.5,1.4,0.0,10.9
Caroline Humphrey,2017-10-18 21:29:44,2017-10-18 21:41:18,Card,2,1.73,9.5,1.5,0.0,11.566666666666666
Destiny Jones,2017-07-01 16:02:41,2017-07-01 16:04:35,Card,5,0.45,3.5,0.86,0.0,1.9
Mr. Thomas Compton,2017-09-26 22:58:31,2017-09-26 23:17:58,Card,1,2.71,14.0,2.0,0.0,19.45
Susan Peters,2017-09-12 12:59:49,2017-09-12 13:16:44,Cash,4,1.13,9.5,0.0,0.0,16.916666666666668
Diane Lang,2017-03-08 06:46:35,2017-03-08 06:56:12,Cash,1,1.1,7.5,0.0,0.0,9.616666666666667
Justin Reid,2017-04-11 15:51:12,2017-04-11 16:02:39,Cash,1,2.86,11.5,2.46,0.0,11.45
Joshua Kennedy,2017-10-01 03:36:28,2017-10-01 03:39:52,Card,5,0.88,4.5,0.0,0.0,3.4
Tammy Henderson,2017-05-25 20:23:31,2017-05-25 20:29:29,Card,1,0.87,6.0,1.46,0.0,5.966666666666667
Monica Norris,2017-08-10 23:17:34,2017-08-10 23:41:23,Card,2,6.1,22.0,4.65,0.0,23.816666666666666
David Walker,2017-05-21 00:26:41,2017-05-21 00:29:44,Cash,1,0.6,4.5,1.0,0.0,3.05
Lisa Proctor,2017-04-23 11:58:21,2017-04-23 12:12:59,Card,2,1.06,10.0,0.0,0.0,14.633333333333333
Thomas Sparks,2017-02-14 10:52:31,2017-02-14 11:22:11,Card,1,4.3,21.5,0.0,0.0,29.666666666666668
Miss Alexandria Ward,2017-02-16 19:06:07,2017-02-16 19:26:22,Cash,1,2.98,15.0,3.36,0.0,20.25
